0  2.0  12.5  23.15
1  14.5  5.0  74.55
2  19.5  2.0  23.15
3  21.5  5.0  65.95
4  26.5  3.0  23.15
5  29.5  2.0  0.0
6  31.5  2.0  15.75
7  33.5  2.0  23.15
8  35.5  6.0  0.0
9  41.5  2.0  23.15
10  43.5  6.0  0.0
11  49.5  2.0  23.15
12  51.5  6.0  0.0
13  57.5  3.0  23.15
14  60.5  6.0  0.0
15  66.5  2.0  23.15
16  68.5  6.0  0.0
17  74.5  2.0  23.15
18  76.5  6.0  0.0
19  82.5  15.0  23.15
20  97.5  6.0  0.0
21  103.5  2.0  23.15
22  105.5  6.0  0.0
23  111.5  2.0  23.15
24  113.5  6.0  0.0
25  119.5  3.0  23.15
26  122.5  6.0  0.0
27  128.5  2.0  23.15
28  130.5  6.0  0.0
29  136.5  2.0  23.15
30  138.5  6.0  0.0
31  144.5  2.0  23.15
32  146.5  2.0  15.75
33  148.5  2.0  0.0
34  150.5  3.0  23.15
35  153.5  5.0  65.95
36  158.5  2.0  23.15
37  160.5  5.0  74.55
38  165.5  6.0  23.15
