GD-152N,G    1.0000+00* JENDL-3.1                                  6452 3102
                                                                   6452 3102
 6.41520+04 1.5061E+02          0         99          0          0 6452 3102
 3.0000E+02 6.2383E+06          0          0          1       1282 6452 3102
       1282          2                                             6452 3102
 1.0000E-05 0.0000E+00 1.0000E-05 1.5681E+04 1.0500E-04 1.5681E+04 6452 3102
 1.0500E-04 1.1857E+04 1.1000E-04 1.1857E+04 1.1000E-04 1.1607E+04 6452 3102
 1.1500E-04 1.1607E+04 1.1500E-04 1.1376E+04 1.2000E-04 1.1376E+04 6452 3102
 1.2000E-04 1.1086E+04 1.2750E-04 1.1086E+04 1.2750E-04 1.0740E+04 6452 3102
 1.3500E-04 1.0740E+04 1.3500E-04 1.0451E+04 1.4250E-04 1.0451E+04 6452 3102
 1.4250E-04 1.0189E+04 1.5000E-04 1.0189E+04 1.5000E-04 9.8827E+03 6452 3102
 1.6000E-04 9.8827E+03 1.6000E-04 9.5822E+03 1.7000E-04 9.5822E+03 6452 3102
 1.7000E-04 9.3058E+03 1.8000E-04 9.3058E+03 1.8000E-04 9.0423E+03 6452 3102
 1.9000E-04 9.0423E+03 1.9000E-04 8.8149E+03 2.0000E-04 8.8149E+03 6452 3102
 2.0000E-04 8.5907E+03 2.1000E-04 8.5907E+03 2.1000E-04 8.4018E+03 6452 3102
 2.2000E-04 8.4018E+03 2.2000E-04 8.2271E+03 2.3000E-04 8.2271E+03 6452 3102
 2.3000E-04 8.0524E+03 2.4000E-04 8.0524E+03 2.4000E-04 7.8334E+03 6452 3102
 2.5500E-04 7.8334E+03 2.5500E-04 7.5966E+03 2.7000E-04 7.5966E+03 6452 3102
 2.7000E-04 7.4334E+03 2.8000E-04 7.4334E+03 2.8000E-04 7.2365E+03 6452 3102
 3.0000E-04 7.2365E+03 3.0000E-04 6.9887E+03 3.2000E-04 6.9887E+03 6452 3102
 3.2000E-04 6.7813E+03 3.4000E-04 6.7813E+03 3.4000E-04 6.5774E+03 6452 3102
 3.6000E-04 6.5774E+03 3.6000E-04 6.3996E+03 3.8000E-04 6.3996E+03 6452 3102
 3.8000E-04 6.2336E+03 4.0000E-04 6.2336E+03 4.0000E-04 6.0616E+03 6452 3102
 4.2500E-04 6.0616E+03 4.2500E-04 5.9008E+03 4.5000E-04 5.9008E+03 6452 3102
 4.5000E-04 5.7410E+03 4.7500E-04 5.7410E+03 4.7500E-04 5.5812E+03 6452 3102
 5.0000E-04 5.5812E+03 5.0000E-04 5.4360E+03 5.2500E-04 5.4360E+03 6452 3102
 5.2500E-04 5.3168E+03 5.5000E-04 5.3168E+03 5.5000E-04 5.1980E+03 6452 3102
 5.7500E-04 5.1980E+03 5.7500E-04 5.0792E+03 6.0000E-04 5.0792E+03 6452 3102
 6.0000E-04 4.9613E+03 6.3000E-04 4.9613E+03 6.3000E-04 4.8500E+03 6452 3102
 6.6000E-04 4.8500E+03 6.6000E-04 4.7387E+03 6.9000E-04 4.7387E+03 6452 3102
 6.9000E-04 4.6314E+03 7.2000E-04 4.6314E+03 7.2000E-04 4.5247E+03 6452 3102
 7.6000E-04 4.5247E+03 7.6000E-04 4.4046E+03 8.0000E-04 4.4046E+03 6452 3102
 8.0000E-04 4.2983E+03 8.4000E-04 4.2983E+03 8.4000E-04 4.2062E+03 6452 3102
 8.8000E-04 4.2062E+03 8.8000E-04 4.1141E+03 9.2000E-04 4.1141E+03 6452 3102
 9.2000E-04 4.0220E+03 9.6000E-04 4.0220E+03 9.6000E-04 3.9298E+03 6452 3102
 1.0000E-03 3.9298E+03 1.0000E-03 3.8423E+03 1.0500E-03 3.8423E+03 6452 3102
 1.0500E-03 3.7570E+03 1.1000E-03 3.7570E+03 1.1000E-03 3.6717E+03 6452 3102
 1.1500E-03 3.6717E+03 1.1500E-03 3.5864E+03 1.2000E-03 3.5864E+03 6452 3102
 1.2000E-03 3.4954E+03 1.2750E-03 3.4954E+03 1.2750E-03 3.3956E+03 6452 3102
 1.3500E-03 3.3956E+03 1.3500E-03 3.2976E+03 1.4250E-03 3.2976E+03 6452 3102
 1.4250E-03 3.2140E+03 1.5000E-03 3.2140E+03 1.5000E-03 3.1199E+03 6452 3102
 1.6000E-03 3.1199E+03 1.6000E-03 3.0275E+03 1.7000E-03 3.0275E+03 6452 3102
 1.7000E-03 2.9452E+03 1.8000E-03 2.9452E+03 1.8000E-03 2.8629E+03 6452 3102
 1.9000E-03 2.8629E+03 1.9000E-03 2.7808E+03 2.0000E-03 2.7808E+03 6452 3102
 2.0000E-03 2.7122E+03 2.1000E-03 2.7122E+03 2.1000E-03 2.6513E+03 6452 3102
 2.2000E-03 2.6513E+03 2.2000E-03 2.5904E+03 2.3000E-03 2.5904E+03 6452 3102
 2.3000E-03 2.5297E+03 2.4000E-03 2.5297E+03 2.4000E-03 2.4660E+03 6452 3102
 2.5500E-03 2.4660E+03 2.5500E-03 2.3950E+03 2.7000E-03 2.3950E+03 6452 3102
 2.7000E-03 2.3361E+03 2.8000E-03 2.3361E+03 2.8000E-03 2.2759E+03 6452 3102
 3.0000E-03 2.2759E+03 3.0000E-03 2.1995E+03 3.2000E-03 2.1995E+03 6452 3102
 3.2000E-03 2.1345E+03 3.4000E-03 2.1345E+03 3.4000E-03 2.0758E+03 6452 3102
 3.6000E-03 2.0758E+03 3.6000E-03 2.0172E+03 3.8000E-03 2.0172E+03 6452 3102
 3.8000E-03 1.9588E+03 4.0000E-03 1.9588E+03 4.0000E-03 1.9050E+03 6452 3102
 4.2500E-03 1.9050E+03 4.2500E-03 1.8507E+03 4.5000E-03 1.8507E+03 6452 3102
 4.5000E-03 1.7964E+03 4.7500E-03 1.7964E+03 4.7500E-03 1.7481E+03 6452 3102
 5.0000E-03 1.7481E+03 5.0000E-03 1.7059E+03 5.2500E-03 1.7059E+03 6452 3102
 5.2500E-03 1.6638E+03 5.5000E-03 1.6638E+03 5.5000E-03 1.6244E+03 6452 3102
 5.7500E-03 1.6244E+03 5.7500E-03 1.5902E+03 6.0000E-03 1.5902E+03 6452 3102
 6.0000E-03 1.5527E+03 6.3000E-03 1.5527E+03 6.3000E-03 1.5156E+03 6452 3102
 6.6000E-03 1.5156E+03 6.6000E-03 1.4842E+03 6.9000E-03 1.4842E+03 6452 3102
 6.9000E-03 1.4529E+03 7.2000E-03 1.4529E+03 7.2000E-03 1.4163E+03 6452 3102
 7.6000E-03 1.4163E+03 7.6000E-03 1.3747E+03 8.0000E-03 1.3747E+03 6452 3102
 8.0000E-03 1.3404E+03 8.4000E-03 1.3404E+03 8.4000E-03 1.3093E+03 6452 3102
 8.8000E-03 1.3093E+03 8.8000E-03 1.2783E+03 9.2000E-03 1.2783E+03 6452 3102
 9.2000E-03 1.2474E+03 9.6000E-03 1.2474E+03 9.6000E-03 1.2214E+03 6452 3102
 1.0000E-02 1.2214E+03 1.0000E-02 1.1942E+03 1.0500E-02 1.1942E+03 6452 3102
 1.0500E-02 1.1640E+03 1.1000E-02 1.1640E+03 1.1000E-02 1.1359E+03 6452 3102
 1.1500E-02 1.1359E+03 1.1500E-02 1.1116E+03 1.2000E-02 1.1116E+03 6452 3102
 1.2000E-02 1.0813E+03 1.2750E-02 1.0813E+03 1.2750E-02 1.0501E+03 6452 3102
 1.3500E-02 1.0501E+03 1.3500E-02 1.0221E+03 1.4250E-02 1.0221E+03 6452 3102
 1.4250E-02 9.9404E+02 1.5000E-02 9.9404E+02 1.5000E-02 9.6143E+02 6452 3102
